date_stamp,numberOfParticles,volFrac,Ex,Ey,Ez,Hx,Hy,Hz,mag_x,mag_y,mag_z,modulus_X,modulus_y,modulus_z,e_rel_x,e_rel_y,e_rel_z,sigma_x,sigma_y,sigma_z
2024-04-17-20-40,100,5,0,0,100000000,0,250000,0,-0.037601095,16.44450824,-0.024946043,2425873.465,2325608.118,3111433.049,6.812297911,6.671680115,6.74739565,50687850.36,204618843,31552159.65
2024-04-17-20-51,100,1,0,0,100000000,0,250000,0,-1.19243201,23.49589076,0.219727653,2206487.133,2199885.483,2694431.438,6.074136062,6.036657235,6.055607004,194317382.9,1009673634,140599002.6
2024-04-17-21-01,100,10,0,0,100000000,0,250000,0,-0.02597207,24.15805627,-0.098158676,2545975.101,2371185.546,2743844.204,7.40313958,7.166585908,7.323021952,23443322.86,108459102.8,17914343.21
2024-04-18-16-57,100,1,0,0,100000000,0,250000,0,0.02797406,22.87850175,-0.053552144,2207908.741,2182628.993,2586469.4,6.075218531,6.037934708,6.056983582,195141331.3,991631925.4,138677004.6
2024-04-18-17-23,100,5,0,0,100000000,0,250000,0,0.040172582,22.8568772,0.033686496,2484618.876,2398596.143,4101262.089,6.815703773,6.6637628,6.736152326,49161205.8,210870774.4,31421842.73
2024-04-18-17-50,100,10,0,0,100000000,0,250000,0,0.110214537,23.90063245,-0.206461049,2560707.072,2366421.658,2819412.588,7.39807301,7.165389193,7.321303863,23194323.92,108264154.7,17916218.1
2024-09-27-19-07,100,1,0,0,100000000,0,250000,0,0.826973404,23.88281018,-0.151262218,2198285.724,2169694.222,2478343.483,6.075187456,6.03966385,6.057403503,196277549.4,954661551.1,136519589
2024-09-27-19-29,100,10,0,0,100000000,0,250000,0,0.652928618,14.19061485,-0.105903777,2569222.022,2364871.93,2840752.583,7.401992382,7.157490944,7.317072329,23083656.18,110169243.2,17839166.59
2024-09-28-10-23,100,1,0,0,100000000,0,250000,0,0.292081322,19.4778349,-0.188449013,2217984.528,2193810.809,2687109.321,6.073333271,6.036530314,6.056937046,199783281,1002842357,136326567.6
2024-09-28-10-42,100,5,0,0,100000000,0,250000,0,-0.087138786,24.19515782,-0.020828572,2427316.534,2331434.523,3193886.953,6.813437705,6.667079855,6.747164238,47934665.55,208081425.3,31907661.01
2024-09-28-10-59,100,10,0,0,100000000,0,250000,0,-0.358662209,24.1666818,0.188901429,2569698.193,2369338.687,2865476.128,7.401742046,7.15960593,7.318319329,22915838.71,109916837.2,17840578.47
2024-10-06-20-39,100,1,0,0,100000000,0,250000,0,-0.870657275,23.96848412,-0.015080867,2196620.411,2182739.779,2670926.281,6.074974132,6.037386412,6.057184187,191810664.3,1003922520,136556715.6
2024-10-06-20-55,100,5,0,0,100000000,0,250000,0,0.746371044,24.39846724,-0.010137283,2352660.402,2310808.799,2981951.351,6.816602453,6.66854698,6.750003492,46177543.29,207583476,32303773.5
2024-10-06-21-10,100,10,0,0,100000000,0,250000,0,0.102009131,23.81691785,0.016683254,2593199.712,2375896.344,2845466.312,7.398069697,7.164361831,7.316604803,23592977.59,108947884,17750588.44
2024-10-21-12-11,100,1,0,0,100000000,0,250000,0,0.453797761,23.40495576,-0.023265167,2200212.561,2177190.993,2488844.131,6.075449635,6.037437034,6.05761821,192309085.1,1000058967,138087117.5
2024-10-21-12-27,100,5,0,0,100000000,0,250000,0,0.376844458,22.73981835,0.046080229,2419842.166,2348258.836,3326962.086,6.814251509,6.669068827,6.748368536,49736985.64,204694185.5,31996951.54
2024-10-21-12-44,100,10,0,0,100000000,0,250000,0,0.115773406,24.18713651,0.317150488,2553784.723,2403802.263,3065616.26,7.403166383,7.155262058,7.310956049,22983982.07,110347651.8,17783021.02
2024-10-30-21-44,100,1,0,0,100000000,0,250000,0,-0.044475784,23.44343447,0.001424895,2214566.803,2192939.205,2636167.591,6.075402872,6.037662438,6.057429481,196072461,1001334405,136363814.7
2024-10-30-22-10,100,10,0,0,100000000,0,250000,0,-0.319295852,23.59123974,-0.106284552,2598630.903,2372927.337,2813820.165,7.395537492,7.168477345,7.333922875,23541452.09,106978491.4,18485582.15
2024-11-24-21-43,100,5,0,0,100000000,0,250000,0,-0.079086125,24.36335083,0.014547726,2417984.703,2321228.019,3072291.924,6.816361054,6.672926917,6.75561965,47255059.32,204179506.3,33200297.93
2024-11-27-13-22,100,5,0,0,0,0,0,0,0.321930667,0.935778417,0.163111431,2179866.875,2180434.304,2182223.082,6.773013259,6.773793839,6.768663074,54241617.7,54822481.95,54652229.66
2024-11-27-13-30,100,5,0,0,0,0,0,250000,0.001638032,0.005654173,23.86079638,2222084.995,2214193.752,2165590.524,6.807262195,6.808840668,6.687452665,38870478.66,41541191.45,196227887.7
2024-11-27-13-31,100,1,0,0,1000000,0,0,250000,0.031863846,0.348444425,24.43712113,2123768.397,2116646.147,2114088.121,6.075032569,6.07412846,6.044949367,181762914,179604841,851305786.2
2024-11-27-13-37,100,5,0,0,1000000,0,0,250000,0.050390585,-0.197994067,23.90460551,2221632.175,2218944.203,2163869.806,6.814727349,6.797387631,6.688256512,44809376.62,37297858.4,195377515.5
2024-11-27-13-42,100,10,0,0,1000000,0,0,250000,0.089724189,0.243073077,24.21676704,2321287.956,2321460.214,2219792.171,7.384684094,7.38107166,7.174909774,20968820.24,20905610.33,108154109.2
